timestamp,acc_x,acc_y,acc_z
0.16,0.00528,0.00431,-0.98817
0.26,0.23066,0.00208,-0.98244
0.36,0.14744,-0.12904,-1.02516
0.46,-0.21626,0.01101,-1.0
0.56,0.13302,0.00291,-1.00225
0.66,0.05821,-0.00407,-0.96403
0.76,-0.15191,0.00202,-0.98902
0.86,0.17654,-0.00057,-1.01348
0.96,-0.07507,-0.02615,-0.97
1.06,-0.03379,-0.05482,-0.99462
1.16,0.11848,0.01232,-1.01112
1.26,-0.08152,0.02809,-0.96124
1.36,0.05552,-0.01772,-0.99578
1.46,0.05093,0.02606,-0.93919
1.56,-0.08247,-0.02077,-0.9959
1.66,0.01041,0.05431,-0.98611
1.76,-0.16471,-0.02489,-0.95084
1.86,0.02951,0.04478,-1.01328
1.96,-0.05678,-0.00695,-0.99307
2.06,-0.00143,-0.01831,-1.00403
2.16,-0.01164,-0.00597,-0.98763
2.26,-0.01357,0.00038,-0.98443
2.36,-0.00838,0.01099,-0.98809
2.46,-0.00976,0.00597,-0.98798
2.56,-0.0099,0.00465,-0.99
2.66,0.04872,0.07517,-0.9823
2.76,0.01142,0.00531,-0.98976
2.88,0.01658,-0.02294,-0.98256
2.98,0.00715,-0.08323,-0.96505
3.08,0.02853,0.03996,-1.00109
3.18,0.0249,0.03906,-0.99363
3.28,0.00558,-0.03204,-0.97619
3.38,-0.00425,-0.00464,-0.99772
3.48,0.0208,-0.02802,-0.98958
3.58,0.00695,-0.01328,-1.00082
3.68,0.01525,-0.03045,-0.96371
3.78,0.01453,0.03513,-1.00117
3.88,0.01626,0.01406,-0.9938
3.98,0.0103,-0.02798,-0.99545
4.08,-0.00157,-0.03026,-0.96631
4.18,0.02273,-0.00546,-0.99182
4.28,0.03072,0.03839,-0.98902
4.38,0.02054,0.04004,-0.99027
4.48,-0.00175,-0.01854,-0.98985
4.58,0.00444,0.00049,-0.98842
4.68,0.00702,-0.00164,-0.98982
4.78,-7e-05,0.00503,-0.98818
4.88,0.26876,0.03904,-1.00613
4.98,0.0962,0.09246,-0.98526
5.08,-0.15883,-0.04477,-0.99487
5.18,0.1969,0.0379,-0.99716
5.28,-0.13701,-0.02797,-1.01213
5.38,0.06154,0.01797,-0.99175
5.48,0.06972,-0.01332,-0.97015
5.58,-0.13008,-0.02009,-0.98599
5.68,0.11339,0.01922,-1.0299
5.78,-0.04806,-0.05126,-0.96717
5.88,-0.00911,0.03789,-0.99897
5.98,0.09555,0.00326,-0.96897
6.08,-0.06722,0.00678,-1.02996
6.18,0.04567,0.00793,-0.98046
6.28,-0.11573,-0.03615,-0.99268
6.38,-0.10883,-0.00156,-0.9773
6.48,0.12304,-0.02565,-0.99927
6.58,-0.22668,0.00593,-0.98032
6.68,-0.01344,-0.00368,-0.98573
6.79,-0.00808,0.01085,-0.98511
6.88,-0.01024,0.00544,-0.98925
6.98,-0.01598,-0.00102,-0.99441
7.08,-0.01723,-0.0146,-0.99052
7.2,-0.11408,-0.28655,-0.9886
7.3,-0.06007,-0.02537,-0.98189
7.4,0.01586,-0.02948,-0.99898
7.5,0.03289,-0.03774,-0.979
7.6,0.02406,0.06276,-0.98767
7.7,0.0053,0.00665,-0.98732
7.8,0.00132,-0.00206,-1.00733
7.9,-0.01132,-0.01399,-0.99517
8.0,0.01394,0.00257,-0.99012
8.1,0.03475,0.01056,-0.99903
8.2,-0.00439,-0.00616,-0.98641
8.3,-0.01806,0.01203,-1.0011
8.4,0.01422,-0.0208,-1.00203
8.5,0.02662,0.01119,-0.98469
8.6,0.02196,0.00268,-0.98074
8.7,0.00891,0.03282,-1.00919
8.8,0.01084,-0.0106,-0.99542
8.9,0.02745,0.06367,-0.98223
9.0,0.00245,0.00899,-0.98768
9.1,-0.00428,-0.00163,-0.98959
9.2,-0.00536,-0.00204,-0.98755
9.3,-0.00269,0.00744,-0.98773
9.4,0.2046,0.02222,-0.98368
9.5,0.18416,-0.0301,-0.99711
9.6,-0.10109,-0.01196,-0.93174
9.7,0.00995,0.01706,-0.96881
9.8,0.14426,-0.00279,-0.97624
9.9,-0.16272,-0.00877,-0.9951
10.0,0.0982,0.01261,-0.95418
10.1,0.03939,-0.01144,-0.98502
10.2,-0.09972,-0.00369,-0.92409
10.3,0.15309,0.01985,-0.99046
10.4,-0.05895,0.05769,-0.97627
10.5,-0.0147,-0.02715,-0.9823
10.6,0.08691,-0.00479,-0.96094
10.7,-0.14478,-0.00774,-0.99944
10.8,-0.08411,0.01017,-0.97974
10.9,0.05374,-0.00437,-0.97979
11.0,-0.23028,0.01027,-0.97198
11.1,-0.01073,-0.01127,-0.98135
11.2,-0.02147,0.00331,-0.98295
11.3,0.00206,0.01383,-0.9854
11.42,-0.01048,0.00273,-0.98947
11.52,-0.03227,0.00354,-0.9915
11.62,-0.11572,-0.29466,-0.99741
11.72,-0.05638,0.02146,-0.98138
11.82,0.02168,0.01422,-0.98813
11.92,0.0251,-0.01317,-0.97782
12.02,0.02371,-0.0159,-1.00594
12.12,-0.00271,-0.02456,-0.98509
12.22,-0.00644,-0.01377,-0.9922
12.32,0.01067,0.04364,-0.99385
12.42,0.0309,0.00448,-0.97829
12.52,0.02462,-0.01111,-0.98762
12.62,-0.00668,-0.03379,-0.98156
12.72,0.00303,0.03317,-0.9934
12.82,0.01591,-0.00738,-0.98343
12.92,0.02847,-0.01753,-0.98063
13.02,0.00832,0.03341,-1.01048
13.12,0.01816,0.03539,-0.99413
13.22,0.00541,-0.02542,-0.9955
13.32,0.02868,0.07233,-0.98188
13.42,0.01922,0.05111,-0.98569
13.52,0.00735,0.00215,-0.98792
13.62,0.00047,-0.00135,-0.98879
13.72,0.00298,0.00439,-0.98695
13.82,0.17949,0.00441,-0.98017
13.92,0.22962,0.01128,-0.95523
14.02,-0.17729,0.02709,-1.01148
14.12,0.09777,0.0467,-0.98504
14.22,0.11258,0.00192,-0.9952
14.32,-0.15275,0.00433,-0.97504
14.42,0.14012,-0.01578,-0.98171
14.52,0.0061,-0.02229,-0.97415
14.62,-0.05347,0.00845,-1.01167
14.72,0.12128,-0.00011,-1.00937
14.82,-0.08248,-0.01991,-0.96315
14.92,0.04135,0.04221,-1.03603
15.02,0.05547,-0.01457,-0.95135
15.12,-0.09025,0.01678,-1.0686
15.22,0.07988,-0.02017,-0.98855
15.32,-0.20466,0.02363,-0.99787
15.42,0.03532,0.01125,-0.9637
15.52,0.02595,-0.00778,-0.99139
15.62,-0.26597,-0.00734,-0.97396
15.72,-0.00474,0.02711,-0.98723
15.82,-0.02202,-0.00756,-0.98417
15.92,-0.01152,0.00095,-0.98674
16.02,-0.01325,-0.0023,-0.98787
16.12,-0.02771,0.00189,-0.98479
16.22,-0.06241,-0.13328,-0.98363
16.32,-0.05279,-0.04075,-0.97445
16.42,0.01826,-0.01923,-0.99744
16.52,0.06581,0.0585,-1.00115
16.62,0.03491,0.05604,-1.00525
16.72,-0.01455,-0.02579,-0.9796
16.82,-0.01036,-0.03072,-0.99709
16.92,0.01555,-0.00614,-0.98535
17.02,0.03287,0.0249,-0.99874
17.12,0.02198,0.00209,-0.97412
17.24,-0.01011,-0.033,-0.97379
17.34,-0.0176,0.01919,-0.99003
17.44,0.017,0.00034,-0.9715
17.54,0.03752,-0.00183,-0.98012
17.64,-0.01443,-0.08027,-0.97107
17.74,0.00663,-0.01282,-0.99868
17.84,0.03026,0.03859,-0.99319
17.94,0.01576,0.05779,-0.98874
18.04,0.00946,-0.00371,-0.9899
18.14,0.00817,-0.00135,-0.98986
18.24,0.00452,0.00735,-0.99038
