timestamp,gyro_x,gyro_y,gyro_z
0.16,0.00431,0.00655,0.01357
0.26,-0.00034,0.03312,-0.07231
0.36,0.06827,-0.09095,0.21575
0.46,-0.02929,0.00109,0.05496
0.56,0.00086,0.05154,0.01751
0.66,-0.00823,0.02771,0.00559
0.76,-0.00603,0.02189,0.01808
0.86,0.04267,0.03228,-0.00947
0.96,-0.00571,0.00623,0.02154
1.06,-0.01666,0.07195,0.07513
1.16,0.00685,-0.00513,-0.02986
1.26,-0.00934,0.06107,-0.01203
1.36,0.02267,0.03847,0.07197
1.46,0.01404,0.02209,-0.02275
1.56,0.00979,0.0092,0.04471
1.66,0.00701,-0.02912,-0.03998
1.76,0.01586,0.05501,0.04925
1.86,0.02205,0.00802,-0.00014
1.96,0.02712,-0.04017,0.01628
2.06,-0.01841,0.01797,0.04179
2.16,-0.0068,0.01419,0.04213
2.26,0.00643,0.0068,0.02625
2.36,0.00414,0.0111,0.01339
2.46,0.002,0.01066,0.01509
2.56,0.00181,0.01106,0.01832
2.66,-0.02042,0.03408,0.72443
2.76,-0.01782,0.01115,0.85429
2.88,-0.00225,0.00792,0.99117
2.98,0.01253,0.03766,0.94072
3.08,-0.00594,0.02132,0.82081
3.18,-0.0191,0.00446,0.96962
3.28,0.01124,0.00593,1.03141
3.38,0.01255,-0.01899,0.89964
3.48,-0.03067,0.01245,0.97829
3.58,-0.00906,0.00448,1.00107
3.68,-0.02108,0.00518,0.98632
3.78,0.01722,-0.03127,0.88147
3.88,-0.00951,-0.00262,0.96016
3.98,-0.01235,-0.01213,1.02336
4.08,0.00242,0.01411,0.99818
4.18,0.00665,0.00314,0.93928
4.28,-0.02062,0.01951,0.57719
4.38,0.00448,0.00869,0.14471
4.48,0.00351,0.00968,0.02516
4.58,0.0018,0.00792,0.00927
4.68,0.00445,0.00716,0.01968
4.78,0.00028,0.01149,0.00352
4.88,0.04654,-0.00573,-0.20725
4.98,-0.06147,-0.06733,0.05511
5.08,-0.00443,-0.01081,0.12834
5.18,-0.00743,0.02283,0.00086
5.28,-0.00987,-0.02782,0.04783
5.38,-0.00963,-0.00023,-0.00056
5.48,0.02845,0.01159,-0.01598
5.58,-0.0174,0.02913,0.03045
5.68,0.05066,0.02067,-0.00167
5.78,-0.02283,0.04149,0.04619
5.88,0.00669,0.00716,-0.02937
5.98,0.00317,0.00118,-0.01391
6.08,-0.01456,0.05316,-0.0183
6.18,-0.00922,0.04195,0.02373
6.28,-0.0165,-0.00761,0.03051
6.38,0.02507,0.02729,0.00794
6.48,-0.01688,0.01603,0.04998
6.58,0.02148,0.00755,-0.00349
6.68,0.00931,0.00937,0.00873
6.79,-0.00639,0.01485,0.00927
6.88,-0.00249,0.01034,0.01745
6.98,0.00323,0.00574,0.01762
7.08,0.00783,0.00644,0.02305
7.2,-0.00013,-0.0067,1.09486
7.3,0.01835,0.00119,0.75392
7.4,-0.02127,0.00493,0.86425
7.5,0.00037,0.00044,0.93811
7.6,0.00244,-0.00712,0.84528
7.7,-0.00565,-0.00017,0.9437
7.8,-0.04052,0.00656,0.95528
7.9,0.0131,-0.01649,0.94967
8.0,-0.01754,-0.02062,0.94656
8.1,-0.00298,0.01338,0.957
8.2,-0.03148,0.00063,1.00793
8.3,0.01757,-0.01161,0.90604
8.4,-0.00539,0.02315,0.92452
8.5,0.00776,0.02572,0.98537
8.6,0.02419,0.00079,0.95546
8.7,0.01613,-0.02881,0.90204
8.8,-0.01494,0.00619,0.95793
8.9,0.00994,0.01014,0.26856
9.0,0.00743,0.00744,0.00441
9.1,0.00447,0.00852,0.02024
9.2,0.00092,0.00658,0.02189
9.3,1e-05,0.00873,0.015
9.4,0.00809,0.16368,-0.04663
9.5,-0.00877,0.01822,0.04389
9.6,0.00108,-0.02969,0.09281
9.7,-0.03032,0.04005,0.03236
9.8,-0.00766,-0.11052,0.00985
9.9,-0.00354,0.00059,0.02103
10.0,0.00468,-0.01153,0.00312
10.1,-0.02686,0.07824,0.02607
10.2,0.03379,0.04987,0.04424
10.3,-0.03719,0.06865,-0.00817
10.4,-0.02252,-0.0027,-0.04129
10.5,0.02708,0.09763,0.05085
10.6,-0.0001,0.03036,0.01727
10.7,0.00537,-0.04267,0.03237
10.8,0.01382,0.00539,-0.00018
10.9,-0.01844,-0.03017,0.02999
11.0,0.01593,0.02201,0.03802
11.1,0.00034,0.02345,0.03169
11.2,0.01022,-0.00122,0.00746
11.3,0.00549,0.01846,0.00803
11.42,-0.00063,0.01438,0.01997
11.52,0.01296,0.00437,0.00775
11.62,-0.00525,-0.01843,1.09997
11.72,0.01971,-0.02752,0.6934
11.82,-0.02153,0.01791,0.79123
11.92,-0.00384,-0.00889,0.94864
12.02,-0.00572,-0.01546,0.95171
12.12,0.00307,0.00268,0.953
12.22,-0.00538,-0.00234,0.93778
12.32,0.01136,-0.0163,0.91582
12.42,0.01368,0.01468,0.9604
12.52,0.00339,0.00028,1.02826
12.62,-0.01462,0.02317,0.98727
12.72,0.04898,-0.00805,0.8648
12.82,-0.00093,0.00638,0.96818
12.92,-0.02403,0.02091,0.99883
13.02,0.00211,-0.01113,0.91594
13.12,0.01552,0.00224,0.94735
13.22,-0.01137,0.00451,0.9843
13.32,0.00744,0.01401,0.39565
13.42,0.01101,0.01385,-0.01288
13.52,-0.00044,0.01079,0.01236
13.62,0.00345,0.00712,0.02006
13.72,0.00224,0.00787,0.01537
13.82,0.00953,0.1375,-0.03028
13.92,-0.03744,0.00877,-0.06593
14.02,0.07057,-0.02179,0.05857
14.12,0.00312,0.07348,-0.01697
14.22,0.01073,-0.17146,0.01836
14.32,-0.01794,0.01745,0.01867
14.42,-0.0351,0.0124,0.0295
14.52,-0.01505,0.01108,0.00419
14.62,0.01277,0.02298,0.0148
14.72,-0.02791,-0.06319,0.01756
14.82,-0.00528,0.0108,0.05416
14.92,-0.03958,-0.02903,-0.02602
15.02,-0.01423,-0.00677,0.03609
15.12,-0.00943,-0.06096,-0.04376
15.22,-0.00331,0.03432,0.07624
15.32,-0.00138,-0.01464,-0.00897
15.42,0.01025,0.06678,0.00961
15.52,0.00077,0.00418,0.00776
15.62,0.00888,0.008,0.04183
15.72,0.0121,0.00999,0.00703
15.82,0.01117,0.01003,0.02198
15.92,0.00408,0.02343,0.01895
16.02,0.00712,0.01548,0.02524
16.12,0.01674,0.00108,0.00191
16.22,-0.00454,0.00305,1.10761
16.32,-0.00295,0.01459,0.76859
16.42,0.00503,0.02688,0.87209
16.52,-0.01713,-0.00519,0.85433
16.62,0.00847,0.00328,0.89272
16.72,0.02069,0.00429,0.94778
16.82,-0.01924,-0.00684,1.00124
16.92,-0.01059,0.00169,0.96365
17.02,0.0216,-0.00937,0.93338
17.12,-0.01129,0.01291,0.98199
17.24,-0.00275,0.03028,0.99842
17.34,-0.00075,-0.01428,0.91689
17.44,0.00296,0.04484,0.95104
17.54,0.00741,0.00993,1.0056
17.64,0.00738,0.01039,1.04346
17.74,0.04211,-0.01914,0.84268
17.84,-0.01033,0.01828,0.8353
17.94,-0.00545,0.00784,0.2039
18.04,0.00781,0.01183,-0.0008
18.14,0.00399,0.00854,0.02208
18.24,0.00195,0.00599,0.01288
